attributionURL,count,employmentStatus,jobTitle,jobTitleId,max,mean,min,obscureType,payPeriod,perOccEmployerDefaultCountryBasePayCount,perOccUnfilteredThisCountryBasePayCount,id,company_name,company_longName,companyLogo,totalJobTitlesCount,totalSalariesCount
"https://www.glassdoor.com/Salary/Verifications-Enterprise-Account-Executive-Salaries-E28975_D_KO14,42.htm",1.0,REGULAR,Enterprise Account Executive,32112.0,94418.41,91467.61,88516.8,FUZZED,ANNUAL,1.0,1486.0,28975,Verifications,"Verifications, Inc.",https://media.glassdoor.com/sqll/28975/verifications-squarelogo.png,1,1
"https://www.glassdoor.com/Salary/Century-Computers-Systems-Analyst-Salaries-E260713_D_KO18,33.htm",1.0,REGULAR,Systems Analyst,26279.0,62801.16,60170.93,57540.69,FUZZED,ANNUAL,1.0,71905.0,260713,Century Computers,Century Computers,,1,1
"https://www.glassdoor.com/Salary/Microsoft-Software-Development-Engineer-Salaries-E1651_D_KO10,39.htm",5818.0,REGULAR,Software Development Engineer,30327.0,162630.23,112009.16,79387.66,FULL_DISPLAY,ANNUAL,6209.0,12698.0,1651,Microsoft,Microsoft Corporation,https://media.glassdoor.com/sqll/1651/microsoft-squarelogo-1479856042252.png,3580,43319
https://www.glassdoor.com/Salary/Microsoft-Software-Development-Engineer-In-Test-SDET-Salaries-E1651_DAO.htm?filter.jobTitleExact=Software+Development+Engineer+In+Test+%28SDET%29,5322.0,REGULAR,Software Development Engineer In Test (SDET),30336.0,137919.77,105176.33,78576.02,FULL_DISPLAY,ANNUAL,5457.0,5473.0,1651,Microsoft,Microsoft Corporation,https://media.glassdoor.com/sqll/1651/microsoft-squarelogo-1479856042252.png,3580,43319
"https://www.glassdoor.com/Salary/Microsoft-Program-Manager-Salaries-E1651_D_KO10,25.htm",2063.0,REGULAR,Program Manager,61502.0,186106.3,115771.34,79916.83,FULL_DISPLAY,ANNUAL,2222.0,23531.0,1651,Microsoft,Microsoft Corporation,https://media.glassdoor.com/sqll/1651/microsoft-squarelogo-1479856042252.png,3580,43319
"https://www.glassdoor.com/Hourly-Pay/Microsoft-Theater-Cashier-Hourly-Pay-E1002835_D_KO18,25.htm",1.0,REGULAR,Cashier,13159.0,14.08,13.57,13.05,FUZZED,HOURLY,1.0,50825.0,1002835,Microsoft Theater,Microsoft Theater,https://media.glassdoor.com/sqll/1002835/l-a-live-theatre-squarelogo-1469616864372.png,2,2
"https://www.glassdoor.com/Hourly-Pay/Microsoft-Theater-Usher-Hourly-Pay-E1002835_D_KO18,23.htm",1.0,REGULAR,Usher,53635.0,12.07,11.63,11.19,FUZZED,HOURLY,1.0,679.0,1002835,Microsoft Theater,Microsoft Theater,https://media.glassdoor.com/sqll/1002835/l-a-live-theatre-squarelogo-1469616864372.png,2,2
"https://www.glassdoor.com/Salary/Super-Microsoft-Technology-Software-Engineer-Salaries-E1533087_D_KO27,44.htm",1.0,REGULAR,Software Engineer,4279.0,110062.16,105505.26,100948.36,FUZZED,ANNUAL,1.0,159426.0,1533087,Super Microsoft Technology,Super Microsoft Technology Private Limited,https://media.glassdoor.com/sqll/1533087/super-microsoft-technology-squarelogo-1505282714661.png,1,1
"https://www.glassdoor.com/Salary/Microsoft-Innovation-Center-Tourism-Technologies-Software-Developer-Salaries-E852441_D_KO49,67.htm",1.0,REGULAR,Software Developer,30270.0,135293.41,129518.19,123742.96,FUZZED,ANNUAL,1.0,33984.0,852441,Microsoft Innovation Center Tourism Technologies,Microsoft Innovation Center Tourism Technologies,,1,1
"https://www.glassdoor.com/Salary/Microsoft-Alumni-Network-Database-Administrator-Salaries-E2385755_D_KO25,47.htm",1.0,REGULAR,Database Administrator,61011.0,50598.48,48758.43,46918.37,FUZZED,ANNUAL,1.0,14082.0,2385755,Microsoft Alumni Network,Microsoft Alumni Network,,1,1
