,careerOpportunitiesRating,ceo,compensationAndBenefitsRating,cultureAndValuesRating,exactMatch,featuredReview,id,industry,industryId,industryName,isEEP,name,numberOfRatings,overallRating,parentEmployer,ratingDescription,recommendToFriendRating,sectorId,sectorName,seniorLeadershipRating,squareLogo,website,workLifeBalanceRating
7,0.0,,0.0,0.0,False,,1303197,,,,False,Tehran â€“ Boston Consulting Engineers,1,3.0,,OK,100,,,0.0,,www.tbe.ir,0.0
8,0.0,,0.0,0.0,False,,2159470,,,,False,Boston International Media Consulting,0,0,,Not Applicable,0,,,0.0,,www.bostonimc.com,0.0
9,3.4,"{'name': 'Ari Bousbib', 'title': 'Chairman and CEO', 'numberOfRatings': 1135, 'pctApprove': 72, 'pctDisapprove': 28, 'image': {'src': 'https://media.glassdoor.com/people/sqll/8347/ims-health-ari-bousbib.png', 'height': 200, 'width': 200}}",3.2,3.4,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-IQVIA-RVW22807308.htm', 'id': 22807308, 'currentJob': True, 'reviewDateTime': '2018-10-04 21:04:12.797', 'jobTitle': 'Project Leader', 'location': 'San Diego, CA', 'jobTitleFromDb': 'Project Leader', 'headline': 'Great company with tons of opportunities', 'pros': 'A market leader in healthcare with chances to work with the biggest names in pharma and biotech, on life changing clinical trials. You are contributing to new impactful diseases treatments from Cancer to Heart Disease, and work with people that are some of the foremost experts in their fields. Good sense of teamwork, industry leader, great benefits. Flexibility in schedule as well as location working remotely or in your local office.', 'cons': 'Project timelines and customers can be challenging. Big company can feel disconnected, need to find your niche and build relationships. Global teams and projects means your hours can be all over the place.', 'overall': 5, 'overallNumeric': 5}",8347,Biotech & Pharmaceuticals,200021.0,Biotech & Pharmaceuticals,True,IQVIA,4310,3.5,,Satisfied,66,10005.0,Biotech & Pharmaceuticals,3.0,https://media.glassdoor.com/sqll/8347/quintilesims-squarelogo-1509985725932.png,www.iqvia.com,3.4
0,3.8,"{'name': 'Jeff Weiner', 'title': 'CEO', 'numberOfRatings': 2277, 'pctApprove': 97, 'pctDisapprove': 3, 'image': {'src': 'https://media.glassdoor.com/people/sqll/34865/linkedin-jeff-weiner.png', 'height': 200, 'width': 200}}",4.3,4.4,True,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-LinkedIn-RVW30511201.htm', 'id': 30511201, 'currentJob': False, 'reviewDateTime': '2019-11-21 14:59:34.79', 'jobTitle': 'Employee', 'location': '', 'headline': 'Account building/ management, identifying key accounts and formally connecting to establishe business needs.', 'pros': 'Great training,  creative account growth freedom and a competitive work environment.', 'cons': 'This is not unusual, but being aware that internal favouritism and a biased work environment is inevitable can be a struggle. Especially for those new to this organization, just starting out and  unfamiliar with their inner office politics.  This industry requires a very tough skin for internal/ external clients and the preparedness to conduct courageous budget and workexpectation discussions with clients.', 'overall': 5, 'overallNumeric': 5}",34865,Internet,200063.0,Internet,False,LinkedIn,2835,4.3,"{'id': 1651, 'name': 'Microsoft', 'relationshipDate': '', 'relationship': 'SUBSIDIARYOF', 'isSunset': False, 'sunsetMessage': '', 'logo': {'normalUrl': 'https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png', 'mediumUrl': 'https://media.glassdoor.com/sqlm/1651/microsoft-squarelogo-1479856042252.png', 'smallUrl': 'https://media.glassdoor.com/sqls/1651/microsoft-squarelogo-1479856042252.png'}}",Very Satisfied,84,10013.0,Information Technology,3.9,https://media.glassdoor.com/sqll/34865/linkedin-squarelogo-1559685522766.png,www.linkedin.com,4.3
1,4.0,,5.0,5.0,True,,2690302,,,,False,LinkedIn,1,5.0,,Very Satisfied,0,,,4.0,,https:www.linkedin.com,5.0
2,4.0,,4.0,5.0,False,,2708873,,,,False,RRH Linkedin,1,5.0,,Very Satisfied,100,,,0.0,,www.rrhlinkedin.com,5.0
3,0.0,"{'name': 'Raniero Botti', 'title': 'Owner', 'numberOfRatings': 0, 'pctApprove': 0, 'pctDisapprove': 0}",0.0,0.0,False,,1370517,,,,False,Sycamore Architecture Research,0,0,,Not Applicable,0,,,0.0,https://media.glassdoor.com/sqll/1370517/sycamore-architecture-research-squarelogo-1569484647099.png,www.sycamore.it,0.0
4,3.4,"{'name': 'Chris J Reed', 'title': 'Founder and CEO', 'numberOfRatings': 17, 'pctApprove': 56, 'pctDisapprove': 44}",3.3,3.4,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Black-Marketing-RVW16532461.htm', 'id': 16532461, 'currentJob': False, 'reviewDateTime': '2017-08-26 00:34:27.227', 'jobTitle': 'Employee', 'location': '', 'headline': ""Good environment, CEO's kind and patience"", 'pros': ""-CEO's more of a mentor than a boss, he is kind and helpful, patient to guide.\r\n- Friendly working environment, friendly colleague.\r\n- Flexible as long as you finish your tasks efficiently and effectively, you pretty much have the freedom you want to have. \r\n- Company bonding, frequent entertainment session eg concerts and yummy meals.\r\n- complimentary staff pantry credit on top of the existing free pantry provided.\r\n- beautiful office to work in."", 'cons': ""- No bonus but you've a part of  the share,\r\n- Company politics are normal, just stay out of it"", 'overall': 4, 'overallNumeric': 4}",1138940,Advertising & Marketing,200022.0,Advertising & Marketing,False,Black Marketing,36,3.4,,OK,57,10006.0,Business Services,3.3,https://media.glassdoor.com/sqll/1138940/black-marketing-squarelogo-1567831628500.png,www.blackmarketing.com,3.3
0,4.2,"{'name': 'Mark Zuckerberg', 'title': 'CEO', 'numberOfRatings': 3001, 'pctApprove': 91, 'pctDisapprove': 9, 'image': {'src': 'https://media.glassdoor.com/people/sqll/40772/facebook-ceo1538973361869.png', 'height': 200, 'width': 200}}",4.6,4.3,True,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Facebook-RVW13818302.htm', 'id': 13818302, 'currentJob': True, 'reviewDateTime': '2017-02-16 19:37:03.677', 'jobTitle': 'Employee', 'location': 'Menlo Park, CA', 'headline': ""Fast paced company with high expectations, but incredibly fair. You won't a place that cares more about it's people."", 'pros': '- Incredible benefits \r\n- Excellent compensation that rewards strong performance \r\n- Lots of autonomy \r\n- Tons of room for growth\r\n- Very transparent from the top down\r\n- Strong leadership\r\n- Intelligent and caring colleagues\r\n- The most fair and well thought out review process you will find everywhere \r\n- Exciting work', 'cons': ""- If you don't learn to make the work life balance work for you, it can be exhausting. But you'll also be given lots of support with this if you ask for it. \r\n- It doesn't matter how good you are at your job, chances are you're going to be surrounded by a ton of other people who are just as good if not better. Imposter syndrome is real, but if you got an offer, you probably belong here too."", 'overall': 5, 'overallNumeric': 5}",40772,Internet,200063.0,Internet,True,Facebook,4081,4.4,,Very Satisfied,87,10013.0,Information Technology,4.0,https://media.glassdoor.com/sqll/40772/facebook-squarelogo-1557164967523.png,www.facebook.com,3.8
1,3.5,"{'name': 'Andrew Schultz', 'title': 'CEO', 'numberOfRatings': 370, 'pctApprove': 92, 'pctDisapprove': 8, 'image': {'src': 'https://media.glassdoor.com/people/sqll/30216/pro-unlimited-andrew-schultz.png', 'height': 200, 'width': 200}}",3.4,3.6,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-PRO-Unlimited-RVW30528236.htm', 'id': 30528236, 'currentJob': True, 'reviewDateTime': '2019-11-22 12:54:17.677', 'jobTitle': 'Operations Manager', 'location': 'Austin, TX', 'jobTitleFromDb': 'Operations Manager', 'headline': 'Great experience!', 'pros': 'Great opportunity to learn all facets of the contingent workforce industry.  PRO has an excellent training program and also provides their employees the opportunity to support/experience various client cultures.', 'cons': 'Slightly slower scale for upward growth, but if you are wanting to advance, they will make it a priority to direct you.', 'overall': 5, 'overallNumeric': 5}",30216,Consulting,200028.0,Consulting,False,PRO Unlimited,708,4.0,,Satisfied,81,10006.0,Business Services,3.5,https://media.glassdoor.com/sqll/30216/pro-unlimited-squarelogo-1425574230459.png,www.prounlimited.com,3.9
